1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,53.36005,-0.0199,347.13,-0.00022,78.92984,99.99991999999999,55.68,-1.00001,-0.0009,80.75986999999999,32.16973,442.44001,28.920040000000004,96.74984,25.20006,1018.05,780.7998299999999,3.12246,341.24982,100.0,7.073930000000001,47.51979,31.590090000000004,1151.27182,51.58012,28.964959999999998,119.61818000000001,199.97985,79.4999,79.17491,0.29996,426.32995,10.499989999999999,8.98505,78.99996999999999,185.16,34.26014,79.72999,0.00519
1,53.35997,-0.01995,347.12982,-0.00016999999999999999,78.93006,99.99989000000001,55.68001999999999,-0.99984,-0.00088,80.75995,32.170120000000004,442.43976,28.920109999999998,96.74982,25.199939999999998,1018.05011,780.7996400000001,3.12243,341.24992000000003,100.00009,7.074,47.520070000000004,31.58995,1151.27184,51.57992,28.964909999999996,119.61816999999999,199.97987,79.50005999999999,79.17488,0.29983000000000004,426.32998,10.500060000000001,8.98501,79.00005,185.15985,34.25992,79.72999,0.00504
2,53.35996,-0.02011,347.12987000000004,5.9999999999999995e-05,78.92992,99.9999,55.68003,-1.0000200000000001,-0.00095,80.75995999999999,32.169959999999996,442.4399,28.92008,96.74999,25.200020000000002,1018.0500900000001,789.12001,3.11637,341.24987999999996,99.99999,7.07383,47.51992,31.589990000000004,1151.27205,51.58007,28.965020000000003,119.61811000000002,199.97988999999998,79.4999,79.17492,0.29995,426.33005999999995,10.50004,8.98504,79.00003000000001,185.15989,34.25979,79.73003,0.00514
3,53.35997,-0.02002,347.12984,-0.00011999999999999999,78.92979,99.99988,55.67995,-0.9999899999999999,-0.00088,80.76006,32.169979999999995,442.43977,28.92002,96.75001,25.20008,1018.05,789.11988,3.11653,358.7499,100.00001999999999,7.07402,47.51993,31.58995,1151.27198,51.579840000000004,28.965,119.61802,199.98,79.49998000000001,79.17482,0.30017,426.33005999999995,10.5,8.98517,79.00001999999999,185.15981000000002,34.26017,79.72999,0.00505
4,53.36006999999999,-0.02009,347.12997,-0.0001,78.93005,100.00007,55.68009,-0.99995,-0.00063,80.75995999999999,32.169979999999995,442.4399,28.919929999999997,96.75008000000001,25.19989,1018.0499199999999,789.11995,3.11645,358.75007999999997,100.00016,7.0739,47.52001,31.589920000000003,1151.27204,51.57993,28.96493,119.61818999999998,199.97985,79.50004,79.17497,0.29996,426.32980999999995,10.50013,8.9851,78.99996999999999,185.15981000000002,34.26012,79.72991999999999,0.00512
5,53.36005,-0.020030000000000003,347.13006,2.9999999999999997e-05,78.92987,99.99998000000001,55.679880000000004,-0.9999600000000001,-0.0008300000000000001,80.75997,32.17002,442.43997,28.919990000000002,96.75009,25.19999,1018.04989,789.1198400000001,3.11627,358.74985,100.00005999999999,7.07408,47.51996,31.589859999999998,1151.272,51.58005,28.96505,119.61806999999999,199.98,79.50010999999999,79.17499000000001,0.2999,426.33008,10.5,8.98489,79.00004,185.16008,34.26001,79.72997,0.00509
6,53.360009999999996,-0.02001,347.12986,4e-05,78.92979,100.00003000000001,55.67986,-1.0000799999999999,-0.0009199999999999999,80.75997,32.169979999999995,442.4397,28.92016,96.74998000000001,25.1998,1018.0500099999999,789.11994,3.1164400000000003,358.74993,99.99988,7.074160000000001,47.51997,31.58985,1151.27197,51.57993,28.965059999999998,119.61798999999999,199.98001000000002,79.50009,79.17522,0.29996,426.32992,10.499989999999999,8.98498,79.00009,185.16005,34.26,79.72984,0.00496
7,53.36006,-0.020059999999999998,347.12996,-2e-05,78.92983000000001,99.99998000000001,55.68001999999999,-1.00005,-0.00082,80.76,32.17006,442.43977,28.91992,96.74988,25.19999,1018.0499800000001,789.1197599999999,3.11643,358.75006,100.00005999999999,7.07385,47.52023,31.590059999999998,1151.27184,51.58007,28.96514,119.61808,199.97994,79.49996,79.17503,0.30019,426.32982000000004,10.49991,8.98503,79.0001,185.15998000000002,34.26024,79.72993000000001,0.00496
8,53.36002,-0.02012,347.12987000000004,-5e-05,78.92993,100.00001999999999,55.679790000000004,-0.99987,-0.0009199999999999999,80.76008,32.169979999999995,442.43985,28.92005,96.74994000000001,25.19978,1018.0499199999999,789.11992,3.11645,358.75007999999997,100.00001999999999,7.074089999999999,47.51998,31.5901,1151.27199,51.58008,28.9649,119.61797,199.97976,79.5,79.17497,0.29995,426.32989000000003,10.5,8.98493,78.99979,185.15993999999998,34.25993,79.73009,0.00505
9,53.3599,-0.02009,347.13,5e-05,78.93001,99.9999,55.68003,-0.99998,-0.0007700000000000001,80.76011,32.16989,442.43967000000004,28.919959999999996,96.74994000000001,25.19983,1018.0499599999999,789.1199,3.11636,358.74989,99.99984,7.0739399999999995,47.519909999999996,31.58975,1151.2721099999999,51.580020000000005,28.965190000000003,119.61811000000002,199.97986,79.50021,79.17487,0.30015,426.33007000000003,10.49996,8.98498,78.99995,185.15999,34.25992,79.73007,0.00473
